Command: Server started | Request: null | Response: null | Date: 30/06/2023 13:22:01
Command: Server started | Request: null | Response: null | Date: 01/07/2023 14:57:52
Command: Server started | Request: null | Response: null | Date: 01/07/2023 15:12:39
Command: Server started | Request: null | Response: null | Date: 01/07/2023 15:16:51
Command: Server started | Request: null | Response: null | Date: 01/07/2023 16:43:24
Command: Server started | Request: null | Response: null | Date: 01/07/2023 16:45:51
Command: Server started | Request: null | Response: null | Date: 01/07/2023 16:46:23
Command: Client N1left | Request: null | Response: null | Date: 01/07/2023 16:46:35
Command: Server started | Request: null | Response: null | Date: 01/07/2023 16:49:06
Command: Server started | Request: null | Response: null | Date: 01/07/2023 16:53:26
Command: Client N1left | Request: null | Response: null | Date: 01/07/2023 16:53:40
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@733cf5ca | Response: null | Date: 01/07/2023 16:53:44
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@5bea95a2 | Date: 01/07/2023 16:53:44
Command: Client N2left | Request: null | Response: null | Date: 01/07/2023 16:53:55
Command: Server started | Request: null | Response: null | Date: 01/07/2023 16:54:17
Command: Client N1left | Request: null | Response: null | Date: 01/07/2023 16:54:24
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@178f90f7 | Response: null | Date: 01/07/2023 16:54:41
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@62c187b0 | Date: 01/07/2023 16:54:41
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@3bc2841a | Response: null | Date: 01/07/2023 16:54:54
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@108142b0 | Date: 01/07/2023 16:54:54
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@69a5404f | Response: null | Date: 01/07/2023 16:54:54
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@732b1b09 | Date: 01/07/2023 16:54:54
